Formula, something, somethingelse,Formula_mono_iso_wt_nat
C6H11N2O4PS3,12,15,303.9559252
C6H11N2O4PS3,13,15,309.9760542
C22H32O8,12,14,424.209718
C22H32O8,13,14,446.2835244
C22H32O8,12,15,424.209718
C22H32O8,13,15,446.2835244
C22H32O9,12,14,440.2046326
C22H32O9,13,14,462.2784391
C22H32O9,12,15,440.2046326
C22H32O9,13,15,462.2784391
C11H18N2O2S,12,14,242.1088985
C11H18N2O2S,13,14,253.1458017
C11H18N2O2S,12,15,244.1029683
C11H18N2O2S,13,15,255.1398715
C32H43N8O20P3S,12,14,984.1527161
C32H43N8O20P3S,13,14,1016.260071
C32H43N8O20P3S,12,15,992.1289952
C32H43N8O20P3S,13,15,1024.23635
C31H64,12,14,436.5008021
C31H64,13,14,467.604802
C31H64,12,15,436.5008021
C31H64,13,15,467.604802
C6H13NO3S,12,14,179.061614
C6H13NO3S,13,14,185.081743
C6H13NO3S,12,15,180.0586489
C6H13NO3S,13,15,186.0787779
C12H18N4O,12,14,234.1480612
C12H18N4O,13,14,246.1883193
C12H18N4O,12,15,238.1362008
C12H18N4O,13,15,250.1764588
C18H39O7P,12,14,398.2433401
C18H39O7P,13,14,416.3037272
C18H39O7P,12,15,398.2433401
C18H39O7P,13,15,416.3037272
C14H8N2O,12,14,220.0636629
C14H8N2O,13,14,234.1106306
C14H8N2O,12,15,222.0577327
C14H8N2O,13,15,236.1047004
C32H36N4,12,14,476.2939972
C32H36N4,13,14,508.401352
C32H36N4,12,15,480.2821367
C32H36N4,13,15,512.3894916
C23H29N3O2S,12,14,411.1980479
C23H29N3O2S,13,14,434.2752092
C23H29N3O2S,12,15,414.1891526
C23H29N3O2S,13,15,437.2663138
C5H7NO2,12,14,113.0476785
C5H7NO2,13,14,118.0644527
C5H7NO2,12,15,114.0447134
C5H7NO2,13,15,119.0614876
C5H7NO3,12,14,129.0425931
C5H7NO3,13,14,134.0593673
C5H7NO3,12,15,130.039628
C5H7NO3,13,15,135.0564022
C18H22NO+,12,14,268.1695908
C18H22NO+,13,14,286.2299778
C18H22NO+,12,15,269.1666256
C18H22NO+,13,15,287.2270127
C70H104O32,12,14,1456.651071
C70H104O32,13,14,1526.88591
C70H104O32,12,15,1456.651071
C70H104O32,13,15,1526.88591
C5H7NO4,12,14,145.0375077
C5H7NO4,13,14,150.0542819
C5H7NO4,12,15,146.0345426
C5H7NO4,13,15,151.0513168
C5H7NO5,12,14,161.0324223
C5H7NO5,13,14,166.0491965
C5H7NO5,12,15,162.0294572
C5H7NO5,13,15,167.0462314
C10H16Br2N2O2,12,14,353.957853
C10H16Br2N2O2,13,14,363.9914013
C10H16Br2N2O2,12,15,355.9519228
C10H16Br2N2O2,13,15,365.9854711
C10H16KNO9S2,12,14,396.9903544
C10H16KNO9S2,13,14,407.0239028
C10H16KNO9S2,12,15,397.9873893
C10H16KNO9S2,13,15,408.0209377
C15H22N2O17P2,12,14,564.0393703
C15H22N2O17P2,13,14,579.0896929
C15H22N2O17P2,12,15,566.0334401
C15H22N2O17P2,13,15,581.0837627
C7H7ClO2,12,14,158.0134572
C7H7ClO2,13,14,165.036941
C7H7ClO2,12,15,158.0134572
C7H7ClO2,13,15,165.036941
C17H18N2O2,12,14,282.1368278
C17H18N2O2,13,14,299.1938601
C17H18N2O2,12,15,284.1308976
C17H18N2O2,13,15,301.1879299
C21H41O7P,12,14,436.2589902
C21H41O7P,13,14,457.3294418
C21H41O7P,12,15,436.2589902
C21H41O7P,13,15,457.3294418
C17H18N2O5,12,14,330.1215717
C17H18N2O5,13,14,347.1786039
C17H18N2O5,12,15,332.1156415
C17H18N2O5,13,15,349.1726737
C19H36O2,12,14,296.2715304
C19H36O2,13,14,315.3352723
C19H36O2,12,15,296.2715304
C19H36O2,13,15,315.3352723
C27H34O10,12,14,518.2151973
C27H34O10,13,14,545.3057779
C27H34O10,12,15,518.2151973
C27H34O10,13,15,545.3057779
C16H14O3,12,14,254.0942943
C16H14O3,13,14,270.1479717
C16H14O3,12,15,254.0942943
C16H14O3,13,15,270.1479717
C17H18N2O6,12,14,346.1164863
C17H18N2O6,13,14,363.1735186
C17H18N2O6,12,15,348.1105561
C17H18N2O6,13,15,365.1675884
C53H86O21,12,14,1058.56616
C53H86O21,13,14,1111.743966
C53H86O21,12,15,1058.56616
C53H86O21,13,15,1111.743966
C27H34O11,12,14,534.2101119
C27H34O11,13,14,561.3006926
C27H34O11,12,15,534.2101119
C27H34O11,13,15,561.3006926
C16H14O4,12,14,270.0892089
C16H14O4,13,14,286.1428863
C16H14O4,12,15,270.0892089
C16H14O4,13,15,286.1428863
C27H34O12,12,14,550.2050266
C27H34O12,13,14,577.2956072
C27H34O12,12,15,550.2050266
C27H34O12,13,15,577.2956072
C16H14O5,12,14,286.0841236
C16H14O5,13,14,302.137801
C16H14O5,12,15,286.0841236
C16H14O5,13,15,302.137801
C16H14O6,12,14,302.0790382
C16H14O6,13,14,318.1327156
C16H14O6,12,15,302.0790382
C16H14O6,13,15,318.1327156
C16H23N2O6,12,14,339.1556115
C16H23N2O6,13,14,355.2092889
C16H23N2O6,12,15,341.1496813
C16H23N2O6,13,15,357.2033587
C16H14O7,12,14,318.0739528
C16H14O7,13,14,334.1276302
C16H14O7,12,15,318.0739528
C16H14O7,13,15,334.1276302
C27H34O15,12,14,598.1897704
C27H34O15,13,14,625.280351
C27H34O15,12,15,598.1897704
C27H34O15,13,15,625.280351
C16H14O8,12,14,334.0688674
C16H14O8,13,14,350.1225448
C16H14O8,12,15,334.0688674
C16H14O8,13,15,350.1225448
C20H28N2O5S,12,14,408.1718927
